                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2975,                0.84024,                 1.1424,                0.87603,                   0.75,                0.83049,                0.45386,                  1.563,                 0.9431,                 1.2395,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2406,                 0.8116,                 1.1298,                0.95644,                0.68615,                0.83252,                0.47454,                 1.6036,                  0.916,                 1.2445,               0.001307,               0.001307,               0.001307
                     37,                 1.2191,                0.79453,                 1.0962,                0.99313,                0.65625,                0.83521,                0.47031,                  1.528,                0.97685,                 1.2268,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2407,                0.79127,                 1.1195,                0.88654,                0.71875,                 0.8108,                0.45423,                 1.4795,                 1.0993,                 1.2089,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.133,                0.74286,                 1.0685,                0.85187,                   0.75,                0.80852,                0.45994,                 1.4606,                 1.0315,                 1.2125,              0.0012476,              0.0012476,              0.0012476
                     40,                   1.18,                0.80779,                 1.1169,                0.91892,                0.70859,                0.85152,                0.46111,                 1.5175,                0.84679,                 1.2255,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1988,                0.78535,                 1.1267,                0.87428,                0.71875,                0.84086,                0.44435,                 1.6156,                0.89831,                   1.25,               0.001208,               0.001208,               0.001208
                     42,                 1.1748,                0.82274,                   1.12,                0.95982,                0.74653,                0.84713,                0.47838,                 1.6853,                0.86953,                 1.2934,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1725,                0.78165,                 1.1235,                0.78812,                   0.75,                0.82821,                0.44591,                 1.7463,                0.96979,                  1.343,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1838,                0.77224,                 1.1038,                0.72193,                0.71875,                0.76837,                0.46853,                 1.6485,                 0.9627,                 1.2395,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2003,                0.75698,                 1.0858,                 0.8227,                0.78125,                0.86121,                0.47826,                 1.6023,                0.96881,                 1.2588,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1202,                0.70737,                 1.0788,                0.88642,                0.84375,                0.88845,                0.49295,                 1.6577,                0.89125,                 1.2413,               0.001109,               0.001109,               0.001109
                     47,                 1.1643,                0.73044,                 1.0859,                0.86662,                0.81221,                0.85527,                 0.4639,                 1.7154,                0.94097,                 1.3138,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1731,                0.75394,                 1.0986,                0.92783,                0.80378,                0.87409,                0.51772,                 1.5135,                0.97838,                 1.2526,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1227,                0.70908,                 1.0705,                0.86765,                0.81964,                0.85997,                0.49698,                 1.5064,                 0.8513,                 1.2266,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1578,                0.73708,                 1.1259,                0.88855,                 0.8125,                0.85882,                0.48757,                  1.613,                0.89877,                 1.2744,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1536,                0.73607,                 1.0815,                0.81254,                0.84375,                0.86436,                0.48474,                 1.5823,                0.81999,                 1.2299,                0.00101,                0.00101,                0.00101
                     52,                 1.1115,                 0.6858,                 1.0671,                0.81098,                0.84375,                0.86259,                 0.4568,                 1.5699,                0.81803,                  1.244,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0959,                0.69037,                  1.074,                0.82606,                0.78125,                0.85127,                0.47598,                 1.7112,                0.84775,                 1.3601,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1169,                0.69746,                 1.0494,                0.83729,                0.84375,                0.86484,                0.48202,                  1.701,                0.79094,                  1.368,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1049,                0.71469,                 1.0736,                0.92206,                 0.7397,                0.85372,                0.47752,                 1.7887,                0.84602,                 1.4076,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0667,                0.69336,                 1.0498,                0.92162,                0.73522,                0.86406,                0.48088,                 1.7356,                0.91691,                 1.3828,               0.000911,               0.000911,               0.000911
                     57,                  1.075,                0.68632,                 1.0609,                0.77294,                  0.875,                0.88284,                0.46794,                 1.7292,                0.84634,                 1.3446,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0599,                0.67189,                 1.0629,                      1,                0.68632,                0.78892,                0.47054,                 1.6192,                 1.0424,                 1.3198,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0689,                0.67228,                 1.0522,                0.98549,                   0.75,                0.83045,                0.46451,                 1.6226,                 1.0407,                 1.3249,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0861,                0.68415,                 1.0537,                0.96963,                   0.75,                0.85081,                0.46715,                 1.5706,                0.89596,                 1.2709,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0088,                0.66089,                 1.0506,                0.90034,                   0.75,                0.85589,                0.48945,                  1.588,                0.88897,                 1.3352,               0.000812,               0.000812,               0.000812
                     62,                0.98209,                0.63331,                 1.0194,                0.91592,                0.68107,                0.84258,                0.49545,                 1.6426,                   1.02,                 1.3124,              0.0007922,              0.0007922,              0.0007922
                     63,                0.98692,                  0.646,                 1.0278,                0.91519,                0.65625,                0.83468,                0.48639,                 1.5907,                0.95903,                 1.2807,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0027,                 0.6287,                 1.0051,                0.95599,                 0.6791,                0.85414,                0.48668,                 1.6027,                0.87031,                 1.2661,              0.0007526,              0.0007526,              0.0007526
                     65,                0.97563,                0.61886,                 1.0086,                0.81973,                0.78125,                0.84011,                0.51188,                 1.5091,                 0.8768,                 1.2166,              0.0007328,              0.0007328,              0.0007328
                     66,                0.96459,                0.61869,                 1.0077,                0.83794,                   0.75,                0.84792,                 0.5183,                 1.4798,                0.86225,                  1.236,               0.000713,               0.000713,               0.000713
                     67,                0.93807,                0.60976,                0.99188,                      1,                 0.6799,                 0.8521,                0.50442,                 1.5763,                 0.8514,                 1.3167,              0.0006932,              0.0006932,              0.0006932
                     68,                0.96259,                 0.5888,                 1.0069,                0.96521,                 0.6875,                0.86729,                0.50783,                 1.5299,                0.79125,                 1.2798,              0.0006734,              0.0006734,              0.0006734
                     69,                0.97666,                0.59424,                 1.0032,                0.88769,                0.74127,                0.84004,                0.50396,                 1.5331,                0.81626,                 1.3059,              0.0006536,              0.0006536,              0.0006536
                     70,                0.91086,                0.58291,                 0.9935,                0.88795,                0.74312,                0.84362,                0.49029,                 1.6289,                0.96475,                 1.3001,              0.0006338,              0.0006338,              0.0006338
                     71,                0.91551,                0.56369,                0.99285,                0.91635,                0.71875,                0.81243,                0.51085,                 1.4225,                0.97652,                 1.1668,               0.000614,               0.000614,               0.000614
                     72,                0.94046,                0.57345,                0.96797,                0.78882,                0.78125,                0.78789,                0.46802,                 1.6199,                 1.2305,                 1.2559,              0.0005942,              0.0005942,              0.0005942
                     73,                0.95523,                0.58147,                0.98986,                0.75363,                 0.8125,                0.79967,                 0.5132,                  1.482,                  1.109,                 1.2181,              0.0005744,              0.0005744,              0.0005744
                     74,                0.92628,                0.56739,                0.98522,                0.82109,                0.71715,                0.81235,                0.49744,                 1.5499,                 1.0904,                 1.2493,              0.0005546,              0.0005546,              0.0005546
                     75,                0.88177,                0.55208,                0.97413,                 0.8054,                0.77615,                0.81104,                0.48678,                 1.6792,                 1.0614,                 1.2954,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.8682,                0.55899,                0.98073,                0.95785,                0.71038,                0.82892,                0.48805,                 1.6026,                0.95781,                 1.2565,               0.000515,               0.000515,               0.000515
                     77,                0.93202,                0.58353,                0.98616,                0.93387,                0.71875,                0.84153,                0.52657,                 1.4348,                0.90108,                  1.173,              0.0004952,              0.0004952,              0.0004952
                     78,                0.89044,                0.55552,                 0.9704,                      1,                0.71165,                0.82673,                0.49469,                 1.5573,                0.84914,                 1.2517,              0.0004754,              0.0004754,              0.0004754
                     79,                0.89351,                 0.5405,                0.98915,                0.90208,                0.71875,                0.85526,                0.52123,                 1.5009,                0.85659,                  1.238,              0.0004556,              0.0004556,              0.0004556
                     80,                0.88116,                0.52766,                0.98026,                0.88569,                0.71875,                0.85136,                0.50284,                 1.5747,                 0.8234,                 1.2782,              0.0004358,              0.0004358,              0.0004358
